aat_ruleOrder,Setup.started,Setup.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,AAT_instructions.started,AAT_instructions.stopped,AAT_fixation.started,AAT_fixation.stopped,AAT_practice_trial.started,AAT_practice_trial.stopped,aat_prac_img,aat_prac_rt,aat_prac_direction,aat_prac_velocity,aat_prac_responded,aat_prac_loop.thisRepN,aat_prac_loop.thisTrialN,aat_prac_loop.thisN,aat_prac_loop.thisIndex,aat_prac_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,AAT_block_start.started,AAT_block_start.stopped,AAT_trial.started,AAT_trial.stopped,aat_block,aat_food_item,aat_food_name,aat_category,aat_cond,aat_compatible,aat_img_file,aat_rt,aat_direction,aat_velocity,aat_responded,aat_trial_loop.thisRepN,aat_trial_loop.thisTrialN,aat_trial_loop.thisN,aat_trial_loop.thisIndex,aat_trial_loop.ran,AAT_break.started,AAT_break.stopped,Bye.started,Bye.stopped
1,0.0036,0.0037,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,0.0038,0.6195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,0.6196,1.0538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,1.0611,1.603,1.6033,2.7199,Practice_pictures/Practice_sushi.png,0.1335,approach,1.706415945,1,0,0,0,2,1,3,,0,Practice,0,Practice_sushi,1,Practice_pictures/Practice_sushi.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,3.0365,3.3531,3.3532,3.8529,Practice_pictures/Practice_kiwi.png,0.1168,approach,1.557123411,1,0,1,1,1,1,2,,0,Practice,0,Practice_kiwi,0,Practice_pictures/Practice_kiwi.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,4.1538,4.8362,4.8363,5.2531,Practice_pictures/Practice_brocoli.png,0.1329,approach,1.430904422,1,0,2,2,0,1,1,,0,Practice,0,Practice_brocoli.png,1,Practice_pictures/Practice_brocoli.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,5.5542,5.8695,5.8697,6.537,Practice_pictures/Practice_cake.png,0.2671,approach,0.704946471,1,0,3,3,3,1,4,,0,Practice,0,Practice_cake,0,Practice_pictures/Practice_cake.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,8.3042,8.9367,,,,,,,,,,,,,,,,,,,,,6.8547,7.5196,8.9375,9.9031,1,20,Tortillas,2,1,incompatible,Items_pictures/20_tortillas.png,0.1502,avoid,1.25820827,1,0,0,0,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,10.2207,10.7199,,,,,,,,,,,,,,,,,,,,,,,10.7205,11.153,1,9,Healthy cracker (Darvida),1,1,incompatible,Items_pictures/9_healthy_cracker.png,0.134,avoid,1.586563599,1,1,0,1,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,11.4535,12.0868,,,,,,,,,,,,,,,,,,,,,,,12.0873,12.5362,1,18,Popcorn,2,1,incompatible,Items_pictures/18_popcorn.png,0.1498,avoid,1.581427838,1,2,0,2,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,12.8535,13.5378,,,,,,,,,,,,,,,,,,,,,,,13.5387,13.9696,1,36,Pretzel,4,1,incompatible,Items_pictures/36_pretzel.png,0.1331,avoid,1.442400294,1,3,0,3,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,14.2868,14.5862,,,,,,,,,,,,,,,,,,,,,,,14.5864,15.2363,1,60,Cupcake,6,0,compatible,Items_pictures/60_cupcake.png,0.15,avoid,1.361929406,1,4,0,4,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,15.7529,16.2028,,,,,,,,,,,,,,,,,,,,,,,16.2031,16.6196,1,43,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/43_chocolate_snack.png,0.1167,avoid,1.317838897,1,5,0,5,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,17.1363,17.6365,,,,,,,,,,,,,,,,,,,,,,,17.637,17.9205,1,53,Ice cream cup,6,0,compatible,Items_pictures/53_ice_cream.png,0.2831,avoid,0.704337302,1,6,0,6,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,18.4362,18.736,,,,,,,,,,,,,,,,,,,,,,,18.7363,19.1861,1,55,Creme brulee,6,0,compatible,Items_pictures/55_creme_brulee.png,0.1501,avoid,1.311857648,1,7,0,7,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,19.7028,20.4533,,,,,,,,,,,,,,,,,,,,,,,20.4537,20.887,1,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/41_chocolate_snack.png,0.1508,avoid,1.062836053,1,8,0,8,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,21.4029,22.0031,,,,,,,,,,,,,,,,,,,,,,,22.0035,22.4355,1,30,Onion rings,3,1,incompatible,Items_pictures/30_onion_rings.png,0.1491,avoid,1.543496647,1,9,0,9,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,22.7368,23.3694,,,,,,,,,,,,,,,,,,,,,,,23.3696,23.8361,1,60,Cupcake,6,0,compatible,Items_pictures/60_cupcake.png,0.1169,approach,1.813961929,1,10,0,10,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,24.1365,24.6694,,,,,,,,,,,,,,,,,,,,,,,24.6696,25.1027,1,43,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/43_chocolate_snack.png,0.1251,approach,1.80763033,1,11,0,11,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,25.4202,26.036,,,,,,,,,,,,,,,,,,,,,,,26.0363,26.4534,1,18,Popcorn,2,1,incompatible,Items_pictures/18_popcorn.png,0.1337,approach,1.591686754,1,12,0,12,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,26.9695,27.7198,,,,,,,,,,,,,,,,,,,,,,,27.7206,28.3699,1,6,Cut strawberry,1,0,compatible,Items_pictures/6_strawberries.png,0.1335,approach,1.635333918,1,13,0,13,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,28.686,29.4028,,,,,,,,,,,,,,,,,,,,,,,29.403,29.8529,1,5,Bell pepper,1,1,incompatible,Items_pictures/5_bell_pepper.png,0.1166,approach,1.594789263,1,14,0,14,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,30.3695,30.7027,,,,,,,,,,,,,,,,,,,,,,,30.7028,31.1701,1,44,Chocolate bar,5,0,compatible,Items_pictures/44_chocolate_snack.png,0.1336,approach,1.166295493,1,15,0,15,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,31.4867,31.9028,,,,,,,,,,,,,,,,,,,,,,,31.903,33.1368,1,20,Tortillas,2,1,incompatible,Items_pictures/20_tortillas.png,0.7007,approach,0.241711201,1,16,0,16,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,33.6528,34.1362,,,,,,,,,,,,,,,,,,,,,,,34.1364,34.6027,1,43,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/43_chocolate_snack.png,0.1334,approach,1.673265181,1,17,0,17,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,34.9201,35.2866,,,,,,,,,,,,,,,,,,,,,,,35.2871,35.7859,1,56,Macarons,6,0,compatible,Items_pictures/56_macaron.png,0.1498,approach,1.390654631,1,18,0,18,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,36.0867,36.7693,,,,,,,,,,,,,,,,,,,,,,,36.7696,37.2195,1,34,Donuts,4,0,compatible,Items_pictures/34_donuts.png,0.15,approach,1.303410297,1,19,0,19,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,37.536,38.336,,,,,,,,,,,,,,,,,,,,,,,38.3363,38.7695,1,36,Pretzel,4,1,incompatible,Items_pictures/36_pretzel.png,0.15,approach,1.408174098,1,20,0,20,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,39.2861,39.9863,,,,,,,,,,,,,,,,,,,,,,,39.9868,40.4525,1,1,Apple slice,1,0,compatible,Items_pictures/1_apple.png,0.1497,approach,1.300039037,1,21,0,21,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,40.7533,41.5197,,,,,,,,,,,,,,,,,,,,,,,41.5201,42.1193,1,28,Burger (vegetarian),3,1,incompatible,Items_pictures/28_veg_burger.png,0.2001,approach,0.93775266,1,22,0,22,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,42.6361,42.9359,,,,,,,,,,,,,,,,,,,,,,,42.9363,43.5362,1,1,Apple slice,1,0,compatible,Items_pictures/1_apple.png,0.2003,approach,0.978329481,1,23,0,23,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,43.8535,44.5858,,,,,,,,,,,,,,,,,,,,,,,44.5862,45.1035,1,5,Bell pepper,1,1,incompatible,Items_pictures/5_bell_pepper.png,0.134,approach,1.238904007,1,24,0,24,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,45.6193,46.2695,,,,,,,,,,,,,,,,,,,,,,,46.2698,46.7535,1,28,Burger (vegetarian),3,1,incompatible,Items_pictures/28_veg_burger.png,0.167,approach,1.011194172,1,25,0,25,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,47.2694,47.7859,,,,,,,,,,,,,,,,,,,,,,,47.7862,48.2526,1,25,French fries,3,1,incompatible,Items_pictures/25_fries.png,0.1668,approach,1.204738837,1,26,0,26,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,48.7693,49.3692,,,,,,,,,,,,,,,,,,,,,,,49.3695,49.8194,1,39,Muffin,4,0,compatible,Items_pictures/39_muffin.png,0.1501,approach,1.280860529,1,27,0,27,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,50.1359,50.703,,,,,,,,,,,,,,,,,,,,,,,50.7034,51.1862,1,1,Apple slice,1,0,compatible,Items_pictures/1_apple.png,0.1667,approach,0.977640857,1,28,0,28,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,51.5032,52.2359,,,,,,,,,,,,,,,,,,,,,,,52.2362,52.836,1,53,Ice cream cup,6,0,compatible,Items_pictures/53_ice_cream.png,0.2167,approach,0.79243535,1,29,0,29,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,53.1367,53.7693,,,,,,,,,,,,,,,,,,,,,,,53.7695,54.9367,1,37,Pain au chocolat,4,0,compatible,Items_pictures/37_pain_chocolat.png,0.8339,approach,0.188476533,1,30,0,30,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,55.2532,55.8859,,,,,,,,,,,,,,,,,,,,,,,55.886,56.386,1,42,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/42_chocolate_snack.png,0.2002,approach,0.788348793,1,31,0,31,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,56.6866,57.0859,,,,,,,,,,,,,,,,,,,,,,,57.0861,57.686,1,36,Pretzel,4,1,incompatible,Items_pictures/36_pretzel.png,0.2834,approach,0.536012181,1,32,0,32,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,58.2032,58.5693,,,,,,,,,,,,,,,,,,,,,,,58.5695,59.136,1,15,Flute,2,1,incompatible,Items_pictures/15_flute.png,0.2333,approach,0.652696461,1,33,0,33,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,59.6366,60.0359,,,,,,,,,,,,,,,,,,,,,,,60.0361,60.5185,1,42,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/42_chocolate_snack.png,0.2327,approach,0.731191612,1,34,0,34,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,60.8197,61.1182,,,,,,,,,,,,,,,,,,,,,,,61.1184,61.8693,1,56,Macarons,6,0,compatible,Items_pictures/56_macaron.png,0.2168,approach,0.69727577,1,35,0,35,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,62.1863,62.9028,,,,,,,,,,,,,,,,,,,,,,,62.9033,63.3693,1,34,Donuts,4,0,compatible,Items_pictures/34_donuts.png,0.184,approach,0.872469754,1,36,0,36,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,63.6699,64.0859,,,,,,,,,,,,,,,,,,,,,,,64.0861,64.8526,1,20,Tortillas,2,1,incompatible,Items_pictures/20_tortillas.png,0.2165,approach,0.7721367,1,37,0,37,0,1,,,,
