Setup.started,Setup.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,AFC_instructions.started,AFC_instructions.stopped,AFC_practice_instructions.started,AFC_practice_instructions.stopped,AFC_practice_fixation.started,AFC_practice_fixation.stopped,AFC_practice_trial.started,AFC_practice_trial.stopped,afc_prac_left_image,afc_prac_right_image,afc_prac_chosen_side,afc_prac_responded,afc_prac_loop.thisRepN,afc_prac_loop.thisTrialN,afc_prac_loop.thisN,afc_prac_loop.thisIndex,afc_prac_loop.ran,AFC_block_start.started,AFC_block_start.stopped,AFC_fixation.started,AFC_fixation.stopped,AFC_trial.started,AFC_trial.stopped,afc_block,afc_left_food_item,afc_right_food_item,afc_left_image,afc_right_image,afc_left_category,afc_right_category,afc_left_cond,afc_right_cond,afc_chosen_side,afc_chosen_food_item,afc_rt,afc_responded,afc_trial_loop.thisRepN,afc_trial_loop.thisTrialN,afc_trial_loop.thisN,afc_trial_loop.thisIndex,afc_trial_loop.ran,AFC_break.started,AFC_break.stopped,Bye.started,Bye.stopped
0.006,0.0061,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,0.0062,0.6853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,0.6856,1.5525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,1.555,2.0524,2.0529,3.2356,Practice_pictures/Practice_brocoli.png,Practice_pictures/Practice_sushi.png,right,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,3.2396,3.8181,3.8184,4.6354,Practice_pictures/Practice_kiwi.png,Practice_pictures/Practice_cake.png,right,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,4.6359,5.4023,5.4025,6.1856,Practice_pictures/Practice_kiwi.png,Practice_pictures/Practice_sushi.png,right,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,6.1861,6.5523,6.5526,7.4188,Practice_pictures/Practice_brocoli.png,Practice_pictures/Practice_cake.png,right,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,7.4212,9.3857,9.3861,10.0191,10.0209,10.9861,1,15,22,Items_pictures/15_flute.png,Items_pictures/22_veg_pizza.png,2,3,1,1,right,22,0.4629,1,0,0,0,0,1,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,10.9869,11.6688,1,6,13,Items_pictures/6_strawberries.png,Items_pictures/13_crisps.png,1,2,0,1,left,6,0.1816,1,1,0,1,0,1,,,,
,,052224,001,2026-03-27_14h03.15.253,AFC,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,11.6697,12.2857,1,5,6,Items_pictures/5_bell_pepper.png,Items_pictures/6_strawberries.png,1,1,1,0,right,6,0.1154,1,2,0,2,0,1,,,,
