ruleOrder,Setup.started,Setup.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,GNG_instructions.started,GNG_instructions.stopped,Practice_instructions.started,Practice_instructions.stopped,Fixation.started,Fixation.stopped,Practice.started,Practice.stopped,ITI.started,ITI.stopped,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,Block_start_2.started,Block_start_2.stopped,Trial.started,Trial.stopped,responded,rt,resp_source,isGo,hit,miss,false_alarm,correct_rejection,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,block_loop.ran,Bye.started,Bye.stopped
0,0.0036,0.0036,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,0.0037,0.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,0.7111,1.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,1.4453,2.4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,2.4498,2.7949,3.3128,4.0948,0,0,0,0,1,1,,0,Practice,0,Practice_brocoli.png,1,Practice_pictures/Practice_brocoli.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,4.0951,4.5615,4.8784,5.6614,0,1,1,3,1,4,,0,Practice,0,Practice_cake,0,Practice_pictures/Practice_cake.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,5.6619,6.1448,6.462,7.0951,0,2,2,1,1,2,,0,Practice,0,Practice_kiwi,0,Practice_pictures/Practice_kiwi.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,7.0955,7.5782,8.0938,8.8787,0,3,3,2,1,3,,0,Practice,0,Practice_sushi,1,Practice_pictures/Practice_sushi.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,9.4621,10.461,,,11.1783,11.7608,,,,,,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,8.8807,9.462,10.4635,10.8776,1,0.2995,tap,1,1,0,0,0,0,0,0,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,12.6784,13.4119,,,,,,22,Pizza (vegetarian),3,,,,1,,,,11.7616,12.1616,1,0.2992,tap,0,0,0,1,0,1,0,1,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,14.195,14.8608,,,,,,42,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,13.4123,13.8941,1,0.3653,tap,1,1,0,0,0,2,0,2,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,15.6279,16.5111,,,,,,53,Ice cream cup,6,,,,0,,,,14.8612,15.3111,1,0.3327,tap,1,1,0,0,0,3,0,3,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,17.3118,17.895,,,,,,37,Pain au chocolat,4,,,,0,,,,16.5113,16.9948,1,0.3666,tap,1,1,0,0,0,4,0,4,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,18.5786,19.2285,,,,,,37,Pain au chocolat,4,,,,0,,,,17.8953,18.2771,1,0.2663,tap,1,1,0,0,0,5,0,5,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,20.1616,20.6618,,,,,,9,Healthy cracker (Darvida),1,,,,1,,,,19.2289,19.6447,1,0.2994,tap,0,0,0,1,0,6,0,6,0,1,,,,,,,
