aat_ruleOrder,Setup.started,Setup.stopped,participant,lang,date,expName,psychopyVersion,OS,frameRate,hub,task,AAT_instructions.started,AAT_instructions.stopped,AAT_prac_instructions.started,AAT_prac_instructions.stopped,AAT_fixation.started,AAT_fixation.stopped,AAT_practice_trial.started,AAT_practice_trial.stopped,aat_prac_img,aat_prac_RT,aat_prac_response,aat_prac_velocity,aat_prac_init_latency,aat_prac_reversal,aat_prac_distance,aat_prac_displacement,aat_prac_speed,aat_prac_move_time,aat_prac_correct,aat_prac_responded,aat_prac_loop.thisRepN,aat_prac_loop.thisTrialN,aat_prac_loop.thisN,aat_prac_loop.thisIndex,aat_prac_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,AAT_block_start.started,AAT_block_start.stopped,AAT_trial.started,AAT_trial.stopped,aat_block,aat_food_item,aat_food_name,aat_category,aat_cond,aat_congruency,aat_img_file,aat_RT,aat_response,aat_velocity,aat_init_latency,aat_reversal,aat_distance,aat_displacement,aat_speed,aat_move_time,aat_correct,aat_responded,aat_trial_loop.thisRepN,aat_trial_loop.thisTrialN,aat_trial_loop.thisN,aat_trial_loop.thisIndex,aat_trial_loop.ran,AAT_break.started,AAT_break.stopped,Bye.started,Bye.stopped
1,0.002,0.003,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,0.003,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,1.501,2.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,2.452,3.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,3.156,3.733,3.735,5.253,Practice_pictures/Practice_kiwi.png,0.916,avoid,3.078982597,0.833,0,0.341880342,0.255555556,3.078982597,0.083,1,1,0,0,0,1,1,2,,0,Practice,0,Practice_kiwi,0,Practice_pictures/Practice_kiwi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,5.521,6.121,6.122,6.769,Practice_pictures/Practice_sushi.png,0.565,approach,5.658119658,0.515,0,0.376923077,0.282905983,5.658119658,0.05,1,1,0,1,1,2,1,3,,0,Practice,0,Practice_sushi,1,Practice_pictures/Practice_sushi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,7.023,7.641,7.641,8.321,Practice_pictures/Practice_cake.png,0.598,avoid,5.33837747,0.537,0,0.505128205,0.325641026,5.33837747,0.061,1,1,0,2,2,3,1,4,,0,Practice,0,Practice_cake,0,Practice_pictures/Practice_cake.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,8.576,9.176,9.177,10.696,Practice_pictures/Practice_brocoli.png,0.481,approach,7.948717949,0.451,0,0.335042735,0.238461538,7.948717949,0.03,1,1,0,3,3,0,1,1,,0,Practice,0,Practice_brocoli.png,1,Practice_pictures/Practice_brocoli.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,14.205,14.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.952,13.525,14.854,15.719,1,25,French fries,3,1,incompatible,Items_pictures/25_fries.png,0.765,avoid,4.657247514,0.716,0,0.437606864,0.228205128,4.168847558,0.049,0,1,0,0,0,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,15.973,16.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.373,16.971,1,17,"Salted nuts (Cashew, peanuts, pistacchios)",2,1,incompatible,Items_pictures/17_flips.png,0.515,avoid,7.663817664,0.485,0,0.323931624,0.22991453,5.925925926,0.03,0,1,1,0,1,0,1,,,,
