Setup.started,Setup.stopped,participant,lang,date,expName,psychopyVersion,OS,frameRate,hub,task,AFC_instructions.started,AFC_instructions.stopped,AFC_practice_instructions.started,AFC_practice_instructions.stopped,AFC_practice_fixation.started,AFC_practice_fixation.stopped,AFC_practice_trial.started,AFC_practice_trial.stopped,afc_prac_left_image,afc_prac_right_image,afc_prac_choice,afc_prac_responded,afc_prac_loop.thisRepN,afc_prac_loop.thisTrialN,afc_prac_loop.thisN,afc_prac_loop.thisIndex,afc_prac_loop.ran,AFC_block_start.started,AFC_block_start.stopped,AFC_fixation.started,AFC_fixation.stopped,AFC_trial.started,AFC_trial.stopped,afc_block,afc_left_food_item,afc_right_food_item,afc_left_image,afc_right_image,afc_left_category,afc_right_category,afc_left_cond,afc_right_cond,afc_choice,afc_chosen_item,afc_RT,afc_responded,afc_trial_loop.thisRepN,afc_trial_loop.thisTrialN,afc_trial_loop.thisN,afc_trial_loop.thisIndex,afc_trial_loop.ran,AFC_break.started,AFC_break.stopped,Bye.started,Bye.stopped
0.003,0.004,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,0.004,1.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,1.319,3.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,3.028,3.537,3.539,4.639,Practice_pictures/Practice_cake.png,Practice_pictures/Practice_sushi.png,left,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,4.645,5.29,5.291,6.158,Practice_pictures/Practice_kiwi.png,Practice_pictures/Practice_brocoli.png,right,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,6.159,6.458,6.459,7.644,Practice_pictures/Practice_cake.png,Practice_pictures/Practice_kiwi.png,left,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,7.644,8.195,8.195,9.196,Practice_pictures/Practice_sushi.png,Practice_pictures/Practice_kiwi.png,left,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,9.2,10.12,10.837,11.484,11.486,12.387,1,49,30,Items_pictures/49_chocolate_cookie.png,Items_pictures/30_onion_rings.png,5,3,0,1,left,49,0.64,1,0,0,0,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,12.388,13.138,13.138,14.173,1,11,35,Items_pictures/11_crisps.png,Items_pictures/35_focaccia.png,2,4,1,1,right,35,0.775,1,1,0,1,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,14.173,14.757,14.757,15.793,1,51,41,Items_pictures/51_tiramisu.png,Items_pictures/41_chocolate_snack.png,6,5,0,0,left,51,0.777,1,2,0,2,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,15.793,16.277,16.277,17.346,1,51,17,Items_pictures/51_tiramisu.png,Items_pictures/17_flips.png,6,2,0,1,left,51,0.803,1,3,0,3,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,17.346,17.814,17.814,18.931,1,22,25,Items_pictures/22_veg_pizza.png,Items_pictures/25_fries.png,3,3,1,1,left,22,0.86,1,4,0,4,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,18.932,19.432,19.433,20.434,1,51,47,Items_pictures/51_tiramisu.png,Items_pictures/47_gummy_candy.png,6,5,0,0,none,none,,0,5,0,5,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,20.685,21.303,21.303,22.154,1,10,4,Items_pictures/10_dried_fruits.png,Items_pictures/4_plain_yogurt.png,1,1,0,0,left,10,0.593,1,6,0,6,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,22.155,22.505,22.505,23.356,1,37,12,Items_pictures/37_pain_chocolat.png,Items_pictures/12_crisps.png,4,2,0,1,right,12,0.591,1,7,0,7,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,23.358,23.891,23.891,24.776,1,35,15,Items_pictures/35_focaccia.png,Items_pictures/15_flute.png,4,2,1,1,left,35,0.621,1,8,0,8,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,24.777,25.243,25.244,26.245,1,54,41,Items_pictures/54_ice_cream.png,Items_pictures/41_chocolate_snack.png,6,5,0,0,left,54,0.737,1,9,0,9,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,26.247,26.796,26.796,27.697,1,12,28,Items_pictures/12_crisps.png,Items_pictures/28_veg_burger.png,2,3,1,1,left,12,0.643,1,10,0,10,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,27.699,28.282,28.282,29.317,1,35,41,Items_pictures/35_focaccia.png,Items_pictures/41_chocolate_snack.png,4,5,1,0,left,35,0.771,1,11,0,11,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,29.318,29.718,29.718,30.636,1,57,48,Items_pictures/57_fondant.png,Items_pictures/48_sour_candy.png,6,5,0,0,left,57,0.658,1,12,0,12,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,30.638,31.438,31.438,32.205,1,57,10,Items_pictures/57_fondant.png,Items_pictures/10_dried_fruits.png,6,1,0,0,right,10,0.506,1,13,0,13,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,32.208,33.007,33.007,33.86,1,30,17,Items_pictures/30_onion_rings.png,Items_pictures/17_flips.png,3,2,1,1,left,30,0.588,1,14,0,14,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,33.862,34.46,34.461,35.462,1,57,5,Items_pictures/57_fondant.png,Items_pictures/5_bell_pepper.png,6,1,0,1,left,57,0.741,1,15,0,15,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,35.464,35.913,35.913,37.015,1,28,51,Items_pictures/28_veg_burger.png,Items_pictures/51_tiramisu.png,3,6,1,0,left,28,0.838,1,16,0,16,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,37.016,37.499,37.5,38.501,1,10,25,Items_pictures/10_dried_fruits.png,Items_pictures/25_fries.png,1,3,0,1,none,none,,0,17,0,17,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,38.752,39.119,39.119,40.187,1,5,54,Items_pictures/5_bell_pepper.png,Items_pictures/54_ice_cream.png,1,6,1,0,right,54,0.805,1,18,0,18,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,40.189,40.639,40.639,41.807,1,25,48,Items_pictures/25_fries.png,Items_pictures/48_sour_candy.png,3,5,1,0,right,48,0.909,1,19,0,19,0,1,,,,
,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h09.05.033,AFC,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AFC,,,,,,,,,,,,,,,,,,,,41.809,42.359,42.359,43.527,1,4,51,Items_pictures/4_plain_yogurt.png,Items_pictures/51_tiramisu.png,1,6,0,0,left,4,0.91,1,20,0,20,0,1,,,,
